ticker,open_time,close_time,open_price,close_price,outcome($),duration(minutes),side,closing_reason
EURUSD,1546960320,1546968960,1.14273,1.14542,-2.81,144.0,SELL,signal_opposite
EURUSD,1546968960,1546973940,1.14542,1.14407,-1.47,83.0,BUY,signal_opposite
EURUSD,1546973940,1546988880,1.14407,1.14453,-0.58,249.0,SELL,signal_opposite
EURUSD,1546988880,1546999140,1.14453,1.14575,1.05,171.0,BUY,signal_opposite
EURUSD,1546999140,1547003940,1.14575,1.14589,-0.26,80.0,SELL,signal_opposite
EURUSD,1547003940,1547007000,1.14589,1.14523,-0.78,51.0,BUY,signal_opposite
EURUSD,1547007000,1547009940,1.14523,1.14598,-0.87,49.0,SELL,signal_opposite
EURUSD,1547009940,1547030040,1.14598,1.14514,-0.96,335.0,BUY,signal_opposite
EURUSD,1547030040,1547042700,1.14514,1.14697,-1.95,211.0,SELL,signal_opposite
EURUSD,1547042700,1547049120,1.14697,1.15121,4.12,107.0,BUY,signal_opposite
EURUSD,1547049120,1547052120,1.15121,1.15359,-2.51,50.0,SELL,signal_opposite
EURUSD,1547052120,1547069040,1.15359,1.15469,0.97,282.0,BUY,signal_opposite
EURUSD,1547069040,1547074740,1.15469,1.15488,-0.32,95.0,SELL,signal_opposite
EURUSD,1547074740,1547082840,1.15488,1.15466,-0.4,135.0,BUY,signal_opposite
EURUSD,1547082840,1547088180,1.15466,1.15551,-0.98,89.0,SELL,signal_opposite
EURUSD,1547088180,1547094960,1.15551,1.1561,0.46,113.0,BUY,signal_opposite
EURUSD,1547094960,1547099520,1.1561,1.15612,-0.15,76.0,SELL,signal_opposite
EURUSD,1547099520,1547101860,1.15612,1.15514,-1.11,39.0,BUY,signal_opposite
EURUSD,1547101860,1547118660,1.15514,1.15347,1.54,280.0,SELL,signal_opposite
EURUSD,1547118660,1547128620,1.15347,1.15261,-0.99,166.0,BUY,signal_opposite
EURUSD,1547128620,1547156400,1.15261,1.15005,2.43,463.0,SELL,signal_opposite
EURUSD,1547156400,1547169780,1.15005,1.1508,0.57,223.0,BUY,signal_opposite
EURUSD,1547169780,1547170620,1.1508,1.15169,-1.02,14.0,SELL,signal_opposite
EURUSD,1547170620,1547185980,1.15169,1.15241,0.59,256.0,BUY,signal_opposite
EURUSD,1547185980,1547190000,1.15241,1.15253,-0.25,67.0,SELL,signal_opposite
EURUSD,1547190000,1547194560,1.15253,1.15185,-0.81,76.0,BUY,signal_opposite
EURUSD,1547194560,1547203920,1.15185,1.15331,-1.59,156.0,SELL,signal_opposite
EURUSD,1547203920,1547205420,1.15331,1.15195,-1.49,25.0,BUY,signal_opposite
EURUSD,1547205420,1547227260,1.15195,1.14839,3.43,364.0,SELL,signal_opposite
EURUSD,1547227260,1547230500,1.14839,1.14756,-0.95,54.0,BUY,signal_opposite
EURUSD,1547230500,1547416800,1.14756,1.14626,1.08,3105.0,SELL,issue_with_data
EURUSD,1547418060,1547421720,1.14631,1.14611,-0.32,61.0,BUY,signal_opposite
EURUSD,1547421720,1547424060,1.14611,1.14635,-0.41,39.0,SELL,signal_opposite
EURUSD,1547424060,1547434500,1.14635,1.14691,0.44,174.0,BUY,signal_opposite
EURUSD,1547434500,1547439540,1.14691,1.14723,-0.44,84.0,SELL,signal_opposite
EURUSD,1547439540,1547446560,1.14723,1.14748,0.13,117.0,BUY,signal_opposite
EURUSD,1547446560,1547452500,1.14748,1.14775,-0.39,99.0,SELL,signal_opposite
